,"Фамилия","Имя","Отчество","Дата рождения, возраст","Матчей","Голов","Дата первого матча","Дата последнего матча"
74,"Зубко","Денис","Иванович",1974-11-07,4,0,1997-04-30,1998-05-30
75,"Зырянов","Константин","Георгиевич",1977-10-05,51,7,2006-05-27,2012-06-12
76,"Иванов","Андрей","Евгеньевич",1967-04-06,11,0,1992-08-16,1993-09-08
77,"Иванов","Олег","Александрович",1986-08-04,5,0,2015-06-07,2016-06-05
78,"Игнатьев","Владислав","Вячеславович",1987-01-20,5,0,2015-11-14,2019-03-24
79,"Игнашевич","Сергей","Николаевич",1979-07-14,126,8,2002-08-21,2018-07-07
80,"Игонин","Алексей","Андреевич",1976-03-18,2,0,1998-10-14,1998-11-18
81,"Измайлов","Марат","Наилевич",1982-09-21,34,2,2001-08-15,2012-06-16
82,"Ионов","Алексей","Сергеевич",1989-02-18,20,3,2011-03-29,2019-06-11
83,"Камболов","Руслан","Александрович",1990-01-01,6,0,2015-03-31,2018-11-20
84,"Канищев","Анатолий","Анатольевич",1971-12-11,3,0,1996-09-01,1997-02-10
85,"Кантонистов","Любомир","Данилович",1978-08-11,1,0,2004-10-09,2004-10-09
86,"Канунников","Максим","Сергеевич",1991-07-14,12,0,2014-05-26,2017-06-24
87,"Канчельскис","Андрей","Антанасович",1969-01-23,36,4,1993-04-14,1998-09-05
88,"Карпин","Валерий","Георгиевич",1969-02-02,72,17,1992-08-16,2003-02-12
89,"Каряка","Андрей","Константинович",1978-04-01,27,6,2001-08-15,2005-08-17
90,"Кержаков","Александр","Анатольевич",1982-11-27,90,30,2002-03-27,2016-03-26
91,"Кечинов","Валерий","Викторович",1974-08-05,6,2,1995-05-06,1998-02-18
92,"Кириченко","Дмитрий","Сергеевич",1977-01-17,12,4,2003-02-12,2006-05-27
93,"Кирьяков","Сергей","Вячеславович",1970-01-01,28,10,1992-10-14,1998-09-23
94,"Кобелев","Андрей","Николаевич",1968-10-22,1,0,1992-08-16,1992-08-16
95,"Ковтун","Юрий","Михайлович",1970-01-05,50,2,1994-03-23,2003-08-20
96,"Козлов","Алексей","Анатольевич",1986-12-25,14,0,2013-06-07,2015-03-31
97,"Кокорин","Александр","Александрович",1991-03-19,47,12,2011-11-11,2017-11-14
98,"Колодин","Денис","Алексеевич",1982-01-11,23,0,2004-08-18,2010-08-11
99,"Колотовкин","Сергей","Викторович",1965-09-28,2,0,1992-08-16,1992-10-14
100,"Колыванов","Игорь","Владимирович",1968-03-06,35,12,1992-10-14,1998-09-05
101,"Комбаров","Дмитрий","Владимирович",1987-01-27,46,2,2012-02-29,2018-03-23
102,"Кондрашов","Андрей","Юрьевич",1972-08-07,1,0,1998-11-18,1998-11-18
103,"Кормильцев","Сергей","Геннадьевич",1974-01-22,1,0,1998-11-18,1998-11-18
104,"Корнаухов","Олег","Дмитриевич",1975-01-14,1,1,1998-11-18,1998-11-18
105,"Корнеев","Игорь","Владимирович",1967-09-04,8,0,1993-03-24,1994-06-28
106,"Косолапов","Алексей","Викторович",1971-03-17,8,1,1993-10-06,1997-10-11
107,"Крицюк","Станислав","Васильевич",1990-12-01,2,-1,2016-03-26,2016-11-10
108,"Кудряшов","Фёдор","Васильевич",1987-04-05,30,1,2016-08-31,2019-06-11
109,"Кузнецов","Дмитрий","Викторович",1965-08-28,8,0,1993-03-24,1994-06-24
110,"Кузьмин","Олег","Александрович",1981-05-09,5,1,2015-09-05,2016-03-29
111,"Кузяев","Далер","Адьямович",1993-01-15,18,0,2017-10-07,2019-03-21
112,"Кульков","Василий","Сергеевич",1966-06-11,21,5,1992-08-16,1995-11-15
113,"Кусов","Алан","Таймуразович",1981-08-11,1,0,2003-02-13,2003-02-13
114,"Кутепов","Илья","Олегович",1993-07-29,12,0,2016-10-09,2018-07-07
115,"Лактионов","Денис","Владимирович",1977-09-04,2,0,2002-05-17,2002-08-21
116,"Лебедь","Владимир","Анатольевич",1973-08-17,1,0,1995-05-06,1995-05-06
117,"Ледяхов","Игорь","Анатольевич",1968-05-22,9,0,1992-08-16,1994-06-28
118,"Лемиш","Владислав","Юрьевич",1970-08-20,1,0,1992-08-16,1992-08-16
119,"Логашов","Арсений","Максимович",1991-08-20,1,0,2012-08-15,2012-08-15
120,"Лодыгин","Юрий","Владимирович",1990-05-26,11,-4,2013-11-19,2016-06-01
121,"Лоськов","Дмитрий","Вячеславович",1974-02-12,25,2,2000-05-31,2006-08-16
122,"Лунёв","Андрей","Евгеньевич",1991-11-13,7,-14,2017-10-10,2018-11-20
123,"Макеев","Евгений","Владимирович",1989-07-24,3,0,2011-03-29,2015-06-07
124,"Максимов","Илья","Владимирович",1987-02-02,1,0,2016-03-26,2016-03-26
125,"Малафеев","Вячеслав","Александрович",1979-03-04,29,-24,2003-11-19,2012-08-15
126,"Мамаев","Павел","Константинович",1988-09-17,15,0,2010-11-17,2016-06-20
127,"Мамедов","Рамиз","Михманович",1972-08-21,10,0,1994-08-17,1998-11-18
128,"Мандреко","Сергей","Владимирович",1971-08-01,1,0,1994-08-17,1994-08-17
129,"Мандрыкин","Вениамин","Анатольевич",1981-08-30,2,-1,2003-02-12,2003-04-30
130,"Матвеев","Юрий","Александрович",1967-06-08,4,0,1992-08-16,1993-02-21
131,"Минько","Валерий","Викентьевич",1971-08-08,4,0,1996-10-09,1998-09-23
132,"Миранчук","Алексей","Андреевич",1995-10-17,23,4,2015-06-07,2019-06-11
133,"Миранчук","Антон","Андреевич",1995-10-17,10,1,2017-10-07,2019-06-11
134,"Могилевец","Павел","Сергеевич",1993-01-25,4,0,2014-05-26,2018-09-07
135,"Мостовой","Александр","Владимирович",1968-08-22,50,10,1992-10-28,2004-06-12
136,"Мох","Андрей","Владимирович",1965-10-20,1,0,1993-03-24,1993-03-24
137,"Мухамадиев","Мухсин","Муслимович",1966-10-21,1,1,1995-05-06,1995-05-06
138,"Набабкин","Кирилл","Анатольевич",1986-09-08,5,0,2012-06-01,2019-03-21
139,"Набиуллин","Эльмир","Рамилевич",1995-03-08,1,0,2015-03-31,2015-03-31
140,"Некрасов","Сергей","Владимирович",1973-01-29,1,0,1998-11-18,1998-11-18
141,"Нигматуллин","Руслан","Каримович",1974-10-07,24,-18,2000-04-26,2002-08-21
142,"Нидергаус","Владимир","Викторович",1967-08-13,1,0,1994-08-17,1994-08-17
143,"Нижегородов","Геннадий","Александрович",1977-06-07,9,0,2000-05-31,2003-04-30
144,"Никифоров","Юрий","Валерьевич",1970-09-16,55,6,1993-09-08,2002-06-14
145,"Новосадов","Андрей","Николаевич",1972-03-27,1,-4,1998-11-18,1998-11-18
146,"Новосельцев","Иван","Евгеньевич",1991-08-25,5,0,2015-03-31,2016-11-15
147,"Нойштедтер","Роман","Петрович",1988-02-18,12,1,2016-06-01,2018-11-20
148,"Овчинников","Сергей","Иванович",1970-11-10,35,-40,1993-02-17,2005-06-08
149,"Оздоев","Магомед","Мустафаевич",1992-11-05,15,1,2014-09-03,2019-06-11
150,"Олеников","Николай","Владимирович",1975-05-24,1,0,2002-08-21,2002-08-21
151,"Онопко","Виктор","Савельевич",1969-10-14,109,7,1992-08-16,2004-08-18
152,"Павлюченко","Роман","Анатольевич",1981-12-15,50,21,2003-08-20,2012-08-15
153,"Пагаев","Артур","Сардионович",1971-12-28,2,0,1998-05-27,1998-05-30
154,"Панов","Александр","Владимирович",1975-09-21,17,4,1998-11-18,2004-05-25
155,"Панченко","Кирилл","Викторович",1989-10-16,1,0,2016-11-10,2016-11-10
156,"Паршивлюк","Сергей","Викторович",1989-03-18,3,0,2014-09-03,2014-11-15
157,"Петров","Сергей","Андреевич",1991-01-02,2,0,2016-09-06,2016-10-09
158,"Пименов","Руслан","Валерьевич",1981-11-25,4,0,2002-05-17,2002-08-21
159,"Писарев","Николай","Николаевич",1968-11-23,3,1,1995-03-08,1995-05-06
160,"Погребняк","Павел","Викторович",1983-11-08,33,8,2006-08-16,2012-06-16
161,"Подпалый","Сергей","Иванович",1963-09-13,2,0,1992-08-16,1994-02-02
162,"Подшивалов","Александр","Викторович",1964-09-06,1,-2,1993-10-06,1993-10-06
163,"Полоз","Дмитрий","Дмитриевич",1991-07-12,19,2,2014-09-03,2018-11-20
164,"Попов","Денис","Александрович",1979-02-04,5,0,2001-06-06,2003-06-07
165,"Попов","Дмитрий","Львович",1967-02-27,21,4,1992-08-16,1998-02-18
166,"Портнягин","Игорь","Игоревич",1989-01-07,1,0,2015-03-31,2015-03-31
167,"Пятницкий","Андрей","Владимирович",1967-09-27,10,2,1993-07-28,1995-05-06
168,"Радимов","Владислав","Николаевич",1975-11-26,33,3,1994-08-17,2006-08-16
169,"Радченко","Дмитрий","Леонидович",1970-12-02,33,9,1992-08-16,1996-10-09
170,"Рауш","Константин","Викторович",1990-03-15,9,0,2017-10-07,2018-11-15
171,"Рахимов","Рашид","Маматкулович",1965-03-18,4,0,1994-01-29,1995-03-08
172,"Ребко","Алексей","Васильевич",1986-04-23,3,0,2009-09-05,2009-10-14
173,"Ребров","Артём","Геннадьевич",1984-03-04,1,-3,2015-11-17,2015-11-17
174,"Рыжиков","Сергей","Викторович",1980-09-19,1,-1,2011-03-29,2011-03-29
175,"Рязанцев","Александр","Александрович",1986-09-05,5,0,2011-06-07,2015-03-31
176,"Саенко","Иван","Иванович",1983-10-17,13,0,2006-10-11,2008-10-15
177,"Саленко","Олег","Анатольевич",1969-10-25,8,6,1993-11-17,1994-06-28
178,"Самедов","Александр","Сергеевич",1984-07-19,53,7,2011-10-07,2018-07-07
179,"Семак","Сергей","Богданович",1976-02-27,65,4,1997-11-15,2010-03-03
180,"Семёнов","Андрей","Сергеевич",1989-03-24,11,0,2014-05-31,2019-06-11
181,"Семшов","Игорь","Петрович",1978-04-06,56,3,2002-05-17,2011-10-11
182,"Сенников","Дмитрий","Александрович",1976-06-24,26,0,2002-03-27,2005-10-12
183,"Сергеев","Олег","Вячеславович",1968-03-29,3,1,1993-02-13,1993-02-21
184,"Симутенков","Игорь","Витальевич",1973-04-03,20,9,1994-08-17,1998-05-30
185,"Скляров","Игорь","Евгеньевич",1966-08-31,1,0,1993-02-17,1993-02-17
186,"Смертин","Алексей","Геннадьевич",1975-05-01,55,0,1998-10-14,2006-10-07
187,"Смолов","Фёдор","Михайлович",1990-02-09,39,14,2012-11-14,2019-06-08
188,"Смольников","Игорь","Александрович",1988-08-08,29,0,2013-11-19,2018-09-10
189,"Соломатин","Андрей","Юрьевич",1975-09-09,13,1,1998-11-18,2003-09-10
190,"Сорокин","Егор","Андреевич",1995-11-04,1,0,2018-09-10,2018-09-10
191,"Стоцкий","Дмитрий","Валерьевич",1989-12-01,1,0,2018-09-10,2018-09-10
192,"Сычёв","Дмитрий","Евгеньевич",1983-10-26,47,15,2002-03-27,2010-08-11
193,"Тарасов","Дмитрий","Алексеевич",1987-03-18,8,1,2013-11-15,2017-10-10
194,"Татарчук","Владимир","Иосифович",1966-04-25,7,0,1992-10-14,1994-04-20
195,"Тедеев","Бахва","Отарович",1969-09-18,6,1,1993-02-13,1994-02-02
196,"Терёхин","Олег","Иванович",1970-08-12,1,0,1998-09-23,1998-09-23
197,"Тернавский","Владислав","Михайлович",1969-05-02,7,0,1994-04-20,1996-09-01
198,"Тетрадзе","Омари","Михайлович",1969-10-13,37,1,1992-08-16,2002-05-17
199,"Титов","Егор","Ильич",1976-05-29,41,7,1998-10-10,2007-02-07
200,"Тихонов","Андрей","Валерьевич",1970-10-16,29,1,1996-02-07,2000-06-04
201,"Торбинский","Дмитрий","Евгеньевич",1984-04-28,30,2,2007-03-24,2016-06-05
202,"Точилин","Александр","Васильевич",1974-04-24,1,0,2003-03-29,2003-03-29
203,"Файзулин","Виктор","Игоревич",1986-04-22,24,4,2012-08-15,2014-11-15
204,"Файзуллин","Ильшат","Галимзянович",1973-03-05,1,0,1993-07-28,1993-07-28
205,"Федьков","Андрей","Юрьевич",1971-07-04,2,0,2001-04-25,2001-06-06
206,"Фигейра Фернандес","Марио",NA,1990-09-19,18,1,2017-10-07,2019-06-11
207,"Филимонов","Александр","Владимирович",1973-10-15,16,-12,1998-03-25,2002-03-27
208,"Филиппенков","Сергей","Александрович",1971-08-02,1,0,1998-11-18,1998-11-18
209,"Хапов","Заур","Залимбиевич",1964-10-21,2,-2,1994-01-29,1994-02-02
210,"Харин","Дмитрий","Викторович",1968-08-16,23,-18,1993-04-28,1998-09-05
211,"Харлачёв","Евгений","Валерьевич",1974-01-20,6,0,1996-08-28,1998-04-22
212,"Хлестов","Дмитрий","Алексеевич",1971-01-21,49,0,1992-08-16,2002-02-13
213,"Хохлов","Дмитрий","Валерьевич",1975-12-22,53,6,1996-06-16,2005-08-17
214,"Цвейба","Ахрик","Сократович",1966-09-10,8,0,1997-02-07,1997-10-29
215,"Цымбаларь","Илья","Владимирович",1969-06-17,28,4,1994-04-20,1999-06-09
216,"Чалов","Фёдор","Николаевич",1998-04-10,2,0,2019-03-21,2019-03-24
217,"Чернов","Никита","Александрович",1996-01-14,2,0,2015-06-07,2015-06-14
218,"Чернышов","Андрей","Алексеевич",1968-01-07,3,0,1992-08-16,1993-02-21
219,"Черчесов","Станислав","Саламович",1963-09-02,39,-30,1992-08-16,2000-02-23
220,"Черышев","Денис","Дмитриевич",1990-12-26,22,9,2012-11-14,2019-03-24
221,"Черышев","Дмитрий","Николаевич",1969-05-11,10,1,1994-01-29,1998-09-23
222,"Чижов","Валерий","Николаевич",1975-04-14,1,0,2003-02-12,2003-02-12
223,"Чичкин","Андрей","Григорьевич",1977-10-12,1,-1,1998-11-18,1998-11-18
224,"Чугайнов","Игорь","Валерьевич",1970-04-06,26,0,1996-02-09,2002-05-17
225,"Шалимов","Игорь","Михайлович",1969-02-02,23,3,1992-10-14,1998-10-14
226,"Шаронов","Роман","Сергеевич",1976-09-08,8,0,2004-03-31,2012-05-25
227,"Шатов","Олег","Александрович",1990-07-29,28,2,2013-02-06,2016-10-09
228,"Швец","Антон","Олегович",1993-04-26,1,0,2018-03-27,2018-03-27
229,"Шешуков","Александр","Сергеевич",1983-04-15,1,0,2011-06-07,2011-06-07
230,"Ширко","Александр","Петрович",1976-11-24,6,1,1999-03-31,2001-09-05
231,"Широков","Роман","Николаевич",1981-07-07,56,13,2008-03-26,2016-06-20
232,"Шишкин","Роман","Александрович",1987-01-27,16,0,2007-03-24,2017-06-21
233,"Шмарко","Александр","Николаевич",1969-03-12,2,0,1998-08-19,1998-09-23
234,"Шунин","Антон","Владимирович",1987-01-27,2,-3,2007-08-22,2011-11-11
235,"Щенников","Георгий","Михайлович",1991-04-27,10,0,2012-08-15,2016-06-15
236,"Юран","Сергей","Николаевич",1969-06-11,25,5,1992-10-14,1999-05-19
237,"Юсупов","Артур","Римович",1989-09-01,2,0,2015-11-17,2016-03-26
238,"Янбаев","Ренат","Рудольфович",1984-04-07,12,0,2008-05-28,2012-11-14
239,"Яновский","Игорь","Сергеевич",1974-08-03,32,1,1996-05-29,2003-06-07
